observed_at,player_id,player_code,web_name,team_id,team_code,team_name,position,price,price_change_gameweek,price_change_season,status,news,news_added,chance_of_playing_this_round,chance_of_playing_next_round,selected_by_percent,form,expected_points_this_gameweek,expected_points_next_gameweek,transfers_in_event,transfers_out_event,transfers_in_season,transfers_out_season,penalties_order,direct_free_kicks_order,corners_and_indirect_free_kicks_order
2026-08-28T11:26:16+00:00,1,154561,Raya,1,3,Arsenal,Goalkeeper,6.0,0.0,0.0,a,,,,,38.3,6.0,4.0,4.0,96307,72625,96307,72625,,,
2026-08-28T11:26:16+00:00,2,109745,Arrizabalaga,1,3,Arsenal,Goalkeeper,5.0,0.0,0.0,a,,,,,0.1,0.0,2.6,2.6,301,1250,301,1250,,,
2026-08-28T11:26:16+00:00,3,437495,Meslier,1,3,Arsenal,Goalkeeper,5.0,0.0,0.0,a,,,,,0.0,0.0,2.6,2.6,96,449,96,449,,,
2026-08-28T11:26:16+00:00,4,226597,Gabriel,1,3,Arsenal,Defender,8.0,0.0,0.0,a,,,,,29.1,5.0,4.0,4.0,54163,109840,54163,109840,,,
2026-08-28T11:26:16+00:00,5,445122,J.Timber,1,3,Arsenal,Defender,6.5,0.0,0.0,i,Groin injury - Unknown return date,2026-07-23T12:01:23.272929Z,0,0,0.1,0.0,0.0,0.0,380,2892,380,2892,,,
2026-08-28T11:26:16+00:00,6,462424,Saliba,1,3,Arsenal,Defender,6.0,0.0,0.0,i,Back injury - Unknown return date,2026-07-23T12:01:23.289376Z,0,0,0.3,0.0,0.0,0.0,801,6443,801,6443,,,
2026-08-28T11:26:16+00:00,7,499169,Lewis-Skelly,1,3,Arsenal,Midfielder,5.5,0.0,0.0,a,,,,,0.7,3.0,2.0,2.0,8808,8141,8808,8141,,,
2026-08-28T11:26:16+00:00,8,466075,Calafiori,1,3,Arsenal,Defender,5.6,0.1,0.1,a,,,,,41.6,9.0,2.6,2.6,288082,36685,288082,36685,,,
2026-08-28T11:26:16+00:00,9,448104,Hincapie,1,3,Arsenal,Defender,5.4,-0.1,-0.1,a,,,,,1.5,1.0,2.4,2.4,3644,37545,3644,37545,,,
2026-08-28T11:26:16+00:00,10,198869,White,1,3,Arsenal,Defender,5.5,0.0,0.0,a,,2026-07-23T12:01:23.305229Z,100,100,6.6,11.0,2.5,2.5,128294,21579,128294,21579,,,
2026-08-28T11:26:16+00:00,11,500040,Mosquera,1,3,Arsenal,Defender,5.5,0.0,0.0,a,,,,,5.8,6.0,2.5,2.5,14210,38825,14210,38825,,,
2026-08-28T11:26:16+00:00,12,223340,Saka,1,3,Arsenal,Midfielder,9.5,0.0,0.0,a,,,,,10.4,9.0,3.2,3.2,80758,30196,80758,30196,1,,
2026-08-28T11:26:16+00:00,13,204480,Rice,1,3,Arsenal,Midfielder,7.5,0.0,0.0,a,,,,,17.0,3.0,2.6,2.6,33252,139440,33252,139440,,,
2026-08-28T11:26:16+00:00,14,232413,Eze,1,3,Arsenal,Midfielder,6.5,0.0,0.0,a,,,,,1.8,1.0,2.3,2.3,5295,40207,5295,40207,,,
2026-08-28T11:26:16+00:00,15,184029,Ødegaard,1,3,Arsenal,Midfielder,6.6,0.1,0.1,a,,,,,11.6,11.0,2.3,2.3,266147,32213,266147,32213,3,,
2026-08-28T11:26:16+00:00,16,248857,Madueke,1,3,Arsenal,Midfielder,6.4,-0.1,-0.1,a,,,,,0.3,1.0,2.3,2.3,1227,7387,1227,7387,,,
2026-08-28T11:26:16+00:00,17,195384,Merino,1,3,Arsenal,Midfielder,6.0,0.0,0.0,a,,,,,0.6,1.0,2.2,2.2,2231,14177,2231,14177,,,
2026-08-28T11:26:16+00:00,18,444145,Martinelli,1,3,Arsenal,Midfielder,6.4,-0.1,-0.1,a,,,,,0.2,0.0,2.3,2.3,1199,6475,1199,6475,,,
2026-08-28T11:26:16+00:00,19,481655,Zubimendi,1,3,Arsenal,Midfielder,5.5,0.0,0.0,a,,,,,1.0,1.0,2.0,2.0,1464,18548,1464,18548,,,
2026-08-28T11:26:16+00:00,20,616077,Dowman,1,3,Arsenal,Midfielder,5.4,-0.1,-0.1,a,,,,,0.1,0.0,1.9,1.9,423,2186,423,2186,,,
2026-08-28T11:26:16+00:00,22,499175,Nwaneri,1,3,Arsenal,Midfielder,5.5,0.0,0.0,a,,,,,0.0,0.0,2.0,2.0,71,303,71,303,,,
2026-08-28T11:26:16+00:00,23,438098,Fábio Vieira,1,3,Arsenal,Midfielder,5.5,0.0,0.0,a,,,,,0.0,0.0,2.0,2.0,74,197,74,197,,,
2026-08-28T11:26:16+00:00,24,200641,Nelson,1,3,Arsenal,Midfielder,5.5,0.0,0.0,a,,,,,0.0,0.0,2.0,2.0,60,150,60,150,,,
2026-08-28T11:26:16+00:00,25,224117,Gyökeres,1,3,Arsenal,Forward,7.4,-0.1,-0.1,a,,,,,6.9,0.0,2.3,2.3,8162,208820,8162,208820,2,,
2026-08-28T11:26:16+00:00,26,219847,Havertz,1,3,Arsenal,Forward,7.5,0.0,0.0,a,,,,,7.4,6.0,2.4,2.4,170014,33408,170014,33408,,,
